sgan,reportdate
S00982-11SW17C-S00983-11SW17C,20101007
S00909-11SW17C-S00910-11SW17C,20140123
S03463-11SW07B-S03464-11SW07B,20090131
S00686-11SW07B-S00679-11SW07B,19970728
S00686-11SW07B-S00690-11SW07B,20000317
S00686-11SW07B-S00690-11SW07B,19991012
S00686-11SW07B-S00690-11SW07B,20131201
S00649-11SW07B-S00635-11SW07B,19971024
S00846-11SW07B-S00849-11SW07B,20130529
S00845-11SW07B-S00846-11SW07B,20110401
S00927-11SW07B-S00926-11SW07B,20101209
S00927-11SW07B-S00926-11SW07B,20120314
S00928-11SW07B-S00927-11SW07B,20080509
S00926-11SW07B-S00925-11SW07B,19991227
S00926-11SW07B-S00925-11SW07B,20080206
S00845-11SW07B-S00834-11SW07B,20140819
S03590-11SW07B-S03594-11SW07B,20130514
S00657-11SW07B-S00655-11SW07B,20140212
S03376-11SW07B-S00657-11SW07B,20130408
S00570-11SW22A-S00450-11SW22A,20060823
S00463-11SW22A-S00467-11SW22A,20020205
S03184-11SW07B-S03183-11SW07B,20100101
S00622-11SW07B-S03598-11SW07B,20100315
S00527-11SW07B-S00507-11SW07B,20021011
S03675-11SW07B-S00527-11SW07B,20050516
S00502-11SW07B-S03678-11SW07B,20041018
S00936-11SW07B-S00928-11SW07B,20120327
S00936-11SW07B-S00928-11SW07B,20131116
S00877-11SW07B-S00849-11SW07B,20121004
S00214-11SW07B-S00200-11SW07B,20060629
S00214-11SW07B-S00200-11SW07B,20000527
S03270-11SW07B-S03267-11SW07B,19990529
S00793-11SW07B-S00796-11SW07B,20000426
S00790-11SW07B-S00789-11SW07B,20090326
S00790-11SW07B-S00789-11SW07B,20120731
S00792-11SW07B-S00794-11SW07B,20081017
S00032-11SW07D-S00037-11SW07D,19970630
S00032-11SW07D-S00037-11SW07D,20040513
S00032-11SW07D-S00037-11SW07D,20000516
S00032-11SW07D-S00037-11SW07D,19980123
S00032-11SW07D-S00037-11SW07D,20000705
S00032-11SW07D-S00037-11SW07D,19990128
S00032-11SW07D-S00037-11SW07D,20060125
S00032-11SW07D-S00037-11SW07D,20020114
S00032-11SW07D-S00037-11SW07D,20091215
S00032-11SW07D-S00037-11SW07D,20101006
S00032-11SW07D-S00037-11SW07D,20110214
S00032-11SW07D-S00037-11SW07D,20111012
S00032-11SW07D-S00037-11SW07D,20140804
S00053-11SW07D-S00044-11SW07D,20111014
S01400-11SW07D-S01399-11SW07D,20010609
S01400-11SW07D-S01399-11SW07D,20030913
S01400-11SW07D-S01399-11SW07D,20071010
S01400-11SW07D-S01399-11SW07D,20081228
S00694-11SW07B-S00710-11SW07B,19991013
S00503-11SW07B-S00506-11SW07B,20080911
S00195-11SW07B-S00198-11SW07B,20030328
S00195-11SW07B-S03299-11SW07B,20010208
S00072-11SW07B-S00064-11SW07B,19990410
S00306-11SW07D-S00298-11SW07D,20100531
S00639-11SW17A-S00636-11SW17A,20130313
S00300-11SW07D-S00247-11SW07C,20050531
S00300-11SW07D-S00247-11SW07C,20000225
S00300-11SW07D-S00247-11SW07C,20071224
S00300-11SW07D-S00247-11SW07C,20091009
S00038-11SW07D-S00042-11SW07D,20020521
S00038-11SW07D-S00042-11SW07D,20010525
S00038-11SW07D-S00042-11SW07D,19990730
S00038-11SW07D-S00042-11SW07D,20090902
S00038-11SW07D-S00042-11SW07D,20120105
S00038-11SW07D-S00042-11SW07D,20120814
S00042-11SW07D-S00046-11SW07D,20030323
S00042-11SW07D-S00046-11SW07D,20050716
S00042-11SW07D-S00046-11SW07D,20091011
S00045-11SW07D-S00055-11SW07D,20141118
S01283-11SW07D-S01330-11SW07D,20010702
S01283-11SW07D-S01330-11SW07D,20010116
S01283-11SW07D-S01330-11SW07D,20110811
S01306-11SW07D-S01309-11SW07D,20120926
S01310-11SW07D-S01311-11SW07D,19970408
S01310-11SW07D-S01311-11SW07D,19980622
S01310-11SW07D-S01311-11SW07D,20111112
S01318-11SW07D-S00200-11SW07D,19970514
S01318-11SW07D-S00200-11SW07D,20000720
S00814-11SW08C-S00818-11SW08C,20120112
S00514-11SW07B-S00521-11SW07B,20110823
S00051-11SW07D-S00059-11SW07D,20141215
S00051-11SW07D-S00059-11SW07D,20000520
S00051-11SW07D-S00059-11SW07D,20020604
S00051-11SW07D-S00059-11SW07D,20010809
S00051-11SW07D-S00059-11SW07D,19990929
S00051-11SW07D-S00059-11SW07D,20030107
S00051-11SW07D-S00059-11SW07D,20000210
S00051-11SW07D-S00059-11SW07D,20000212
S00051-11SW07D-S00059-11SW07D,20000222
S00051-11SW07D-S00059-11SW07D,20090224
S00874-11SW07B-S00866-11SW07B,20070718
S00059-11SW07D-S00063-11SW07D,20141213
S00059-11SW07D-S00063-11SW07D,20030325
S00059-11SW07D-S00063-11SW07D,20010404
S00059-11SW07D-S00063-11SW07D,20010507
S00059-11SW07D-S00063-11SW07D,20000221
S00059-11SW07D-S00063-11SW07D,20000216
S00059-11SW07D-S00063-11SW07D,20080703
S00059-11SW07D-S00063-11SW07D,20080721
S00059-11SW07D-S00063-11SW07D,20130616
S00122-11SW07D-S00130-11SW07D,20090430
S00122-11SW07D-S00130-11SW07D,20090502
S00034-11SW07D-S02182-11SW07D,20030726
S00034-11SW07D-S02182-11SW07D,20010224
S00122-11SW07D-S00093-11SW07D,20000331
S00697-11SW07B-S03294-11SW07B,20031122
S00697-11SW07B-S03294-11SW07B,19980907
S00697-11SW07B-S03294-11SW07B,20001128
S00799-11SW07B-S00705-11SW07B,20030409
S00799-11SW07B-S00705-11SW07B,20030321
S00799-11SW07B-S00705-11SW07B,20090317
S00700-11SW07B-S00712-11SW07B,20000430
S00700-11SW07B-S00712-11SW07B,19980719
S00700-11SW07B-S00712-11SW07B,20010824
S00700-11SW07B-S00712-11SW07B,19981012
S00700-11SW07B-S00712-11SW07B,20050214
S00700-11SW07B-S00712-11SW07B,20070625
S00700-11SW07B-S00712-11SW07B,20080910
S00523-11SW07B-S00524-11SW07B,20080701
S00523-11SW07B-S00524-11SW07B,20130619
S00521-11SW07B-S00513-11SW07B,20071010
S00092-15NW03B-S00093-15NW03B,20070411
S00092-15NW03B-S00093-15NW03B,20021125
S00072-15NW03B-S00074-15NW03B,20100525
S00028-15NW03B-S00020-15NW03B,20100604
S00011-15NW03B-S00006-15NW03B,20111130
S00011-15NW03B-S00006-15NW03B,20120919
S00027-15NW03B-S00030-15NW03B,20050214
S00012-15NW03B-S00878-15NW03B,20140527
S00012-15NW03B-S00878-15NW03B,20130227
S00012-15NW03B-S00878-15NW03B,20131122
S00878-15NW03B-S00880-15NW03B,20131118
S00880-15NW03B-S00882-15NW03B,20040212
S00880-15NW03B-S00882-15NW03B,20070710
S00880-15NW03B-S00882-15NW03B,20130728
S00880-15NW03B-S00882-15NW03B,20131017
S00880-15NW03B-S00882-15NW03B,20140129
S00880-15NW03B-S00882-15NW03B,20140729
S00004-15NW03B-S00002-15NW03B,20131120
S00234-15NW03B-S00259-15NW03B,20130110
S00220-15NW03B-S00965-15NW03B,20040325
S00241-15NW03B-S00237-15NW03B,20031023
S00039-15NW03B-S00033-15NW03B,20050901
S00056-15NW03B-S00054-15NW03B,20130308
S00056-15NW03B-S00054-15NW03B,20110211
S00059-15NW03B-S00056-15NW03B,20090629
S00026-15NW03D-S00027-15NW03D,20110920
S00026-15NW03D-S00027-15NW03D,20110302
S03294-11SW07B-S03587-11SW07B,20001014
S03588-11SW07B-S03586-11SW07B,20000926
S00513-11SW07B-S03989-11SW07B,19990603
S00513-11SW07B-S03989-11SW07B,20110329
S00513-11SW07B-S03989-11SW07B,20110910
S00876-11SW07B-S00635-11SW08A,20001011
S00876-11SW07B-S00635-11SW08A,20110207
S00876-11SW07B-S00635-11SW08A,20101111
S00063-11SW07D-S00064-11SW07D,20010317
S00063-11SW07D-S00066-11SW07D,20010509
S00063-11SW07D-S00066-11SW07D,20010709
S00064-11SW07D-S00068-11SW07D,20110214
S00141-11NW13A-S00224-11NW13B,20010628
S00004-11NW07D-S00003-11NW07D,20031228
S00045-11NW08C-S00057-11NW08C,20030318
S00265-15NW03B-S00284-15NW03B,20110603
S00275-15NW03B-S00316-15NW03B,20100731
S00259-15NW03B-S00269-15NW03B,20050117
S00332-15NW03B-S00365-15NW03B,20020817
S00255-11SW23C-S00253-11SW23C,19971004
S00295-11SW23D-S00292-11SW23D,20101122
S00292-11SW23D-S00299-11SW23D,20040927
S00292-11SW23D-S00299-11SW23D,20020827
S00706-11SW23C-S00255-11SW23C,20100113
S00262-11SW23C-S00263-11SW23C,19990305
S00262-11SW23C-S00263-11SW23C,20040312
S00262-11SW23C-S00263-11SW23C,20021015
S00262-11SW23C-S00263-11SW23C,20110110
S00262-11SW23C-S00263-11SW23C,20140104
S00262-11SW23C-S00263-11SW23C,20140111
S00274-11SW23D-S00273-11SW23D,20120410
S00273-11SW23D-S00270-11SW23D,20050527
S00248-11SW23D-S00247-11SW23D,20121218
S00270-11SW23D-S00165-11SW23D,20080327
S00712-11SW07B-S00715-11SW07B,20081016
S00109-11NW08C-S00012-11NW07D,20001104
S00042-11NW07D-S00044-11NW07D,20021106
S00042-11NW07D-S00044-11NW07D,20031127
S00042-11NW07D-S00044-11NW07D,20050426
S00042-11NW07D-S00044-11NW07D,20020314
S00042-11NW07D-S00044-11NW07D,20080704
S00232-11NW07D-S00040-11NW07D,20060527
S00235-11NW07D-S00234-11NW07D,20140307
S00074-11NW08C-S00067-11NW08C,20050722
S00074-11NW08C-S00067-11NW08C,20121127
S00105-11NW08C-S00098-11NW08C,20051219
S00098-11NW08C-S00088-11NW08C,20031225
S00098-11NW08C-S00088-11NW08C,20040413
S00098-11NW08C-S00088-11NW08C,20040510
S00098-11NW08C-S00088-11NW08C,20010913
S00106-11NW08C-S00112-11NW08C,20101116
S00094-11NW08C-S00095-11NW08C,20141215
S00136-11SW23D-S00134-11SW23D,20020822
S00136-11SW23D-S00134-11SW23D,19990910
S00165-11SW23D-S00150-11SW23D,20080407
S00167-11SW23D-S00160-11SW23D,20140110
S01467-11SW23D-S01469-11SW23D,20080905
S01545-11SW23D-S01546-11SW23D,20060302
S01567-11SW23D-S01474-11SW23D,20041117
S01567-11SW23D-S01474-11SW23D,20110105
S00040-11SW07D-S03001-11SW08C,20040810
S00040-11SW07D-S03001-11SW08C,20000120
S00040-11SW07D-S03001-11SW08C,20130108
S00307-11SW08A-S00299-11SW08A,20090204
S00307-11SW08A-S00299-11SW08A,20090203
S00239-11SW08A-S00242-11SW08A,20120930
S00197-11SW08A-S04046-11SW08A,20030901
S00197-11SW08A-S04046-11SW08A,20010227
S00016-11NW08C-S00083-11NW08C,20111024
S00118-11NW08C-S00127-11NW08C,20020928
S00118-11NW08C-S00127-11NW08C,20020805
S00118-11NW08C-S00127-11NW08C,20020820
S00118-11NW08C-S00127-11NW08C,20040103
S00118-11NW08C-S00127-11NW08C,20040911
S00118-11NW08C-S00127-11NW08C,19971031
S00118-11NW08C-S00127-11NW08C,20000318
S00118-11NW08C-S00127-11NW08C,20100101
S00118-11NW08C-S00127-11NW08C,20100323
S00396-11NW08C-S00410-11NW08C,20030928
S00390-11NW08C-S00387-11NW08C,20040322
S00390-11NW08C-S00387-11NW08C,20040309
S00381-11NW08C-S00391-11NW08C,20030430
S00381-11NW08C-S00391-11NW08C,20030513
S00381-11NW08C-S00391-11NW08C,20121227
S00381-11NW08C-S00391-11NW08C,20140409
S00570-11NW08C-S00569-11NW08C,20130301
S00570-11NW08C-S00569-11NW08C,20130705
S00570-11NW08C-S00569-11NW08C,20130823
S00553-11NW08C-S00604-11NW08C,20030730
S00395-11NW08C-S00694-11NW08C,20060113
S00696-11NW08C-S00695-11NW08C,20091010
S00475-11NW08C-S00553-11NW08C,20120229
S00475-11NW08C-S00553-11NW08C,20120907
S00047-11NW08C-S00052-11NW08C,20111226
S00047-11NW08C-S00052-11NW08C,20111225
S00281-11NW08C-S00289-11NW08C,20050812
S00281-11NW08C-S00289-11NW08C,20011029
S00281-11NW08C-S00289-11NW08C,19980615
S00281-11NW08C-S00289-11NW08C,20101125
S00281-11NW08C-S00289-11NW08C,20140714
S00281-11NW08C-S00289-11NW08C,20140816
S00281-11NW08C-S00289-11NW08C,20031224
S00281-11NW08C-S00289-11NW08C,20010724
S00437-11NW08C-S00436-11NW08C,20060320
S00294-11NW08C-S00282-11NW08C,20050728
S00294-11NW08C-S00282-11NW08C,20070730
S00294-11NW08C-S00282-11NW08C,20100813
S00294-11NW08C-S00282-11NW08C,20100807
S00294-11NW08C-S00282-11NW08C,20100911
S00294-11NW08C-S00282-11NW08C,20101101
S00294-11NW08C-S00282-11NW08C,20131023
S00278-11NW08C-S00281-11NW08C,20020206
S00283-11NW08C-S00285-11NW08C,20070511
S00283-11NW08C-S00285-11NW08C,20121119
S00352-11NW08C-S00351-11NW08C,20050213
S00272-11NW08C-S00271-11NW08C,20110528
S00274-11NW08C-S00272-11NW08C,20020204
S00274-11NW08C-S00272-11NW08C,20010901
S01590-11SW23D-S01591-11SW23D,20080327
S01591-11SW23D-S01592-11SW23D,20080327
S00164-11SW23D-S00131-11SW23D,20090714
S00168-11SW23D-S00169-11SW23D,20000928
S00366-11SW23D-S00376-11SW23D,20050111
S00235-11SW08A-S00206-11SW08A,20000305
S03001-11SW08C-S03067-11SW08C,20000916
S00635-11SW08A-S00629-11SW08A,20101202
S00239-11SW08A-S00279-11SW08A,20020910
S00239-11SW08A-S00279-11SW08A,20121210
S00255-11SW08A-S00235-11SW08A,20140129
S00387-11SW08A-S00395-11SW08A,20090713
S04113-11SW08A-S04112-11SW08A,20020907
S00405-11SW08A-S00398-11SW08A,20031122
S00405-11SW08A-S00398-11SW08A,20080126
S00405-11SW08A-S00398-11SW08A,20130603
S00149-11NW08C-S00190-11NW08C,20110801
S00149-11NW08C-S00152-11NW08C,20080719
S00152-11NW08C-S01179-11NW08C,20110722
S00134-11NW08C-S00133-11NW08C,20130428
S00189-11NW08C-S00187-11NW08C,20090408
S00383-11NW08C-S00385-11NW08C,20030514
