GID,Suburb
11055702,PLUMPTON
10082678,WOODEND
11054850,DIGGERS REST
11054844,DIGGERS REST
11054854,DIGGERS REST
11054858,DIGGERS REST
11054842,DIGGERS REST
11054883,DIGGERS REST
11520483,DIGGERS REST
11520485,DIGGERS REST
11520487,DIGGERS REST
11520489,DIGGERS REST
11520491,DIGGERS REST
11520493,DIGGERS REST
11520497,DIGGERS REST
11520499,DIGGERS REST
11521931,TOOLERN VALE
11521942,TOOLERN VALE
11521943,TOOLERN VALE
11562448,ROMSEY
11562450,ROMSEY
13636996,TOOLERN VALE
13636999,TOOLERN VALE
13637001,TOOLERN VALE
13637003,TOOLERN VALE
11576129,SUNBURY
11576132,SUNBURY
11576137,SUNBURY
11576140,SUNBURY
13632913,DARLEY
13632914,DARLEY
13633027,MADDINGLEY
13632772,MADDINGLEY
13538981,NEW GISBORNE
13633099,WOODEND
13632774,MADDINGLEY
13633171,GISBORNE
13633223,GISBORNE
13633267,DARLEY
13633269,DARLEY
13633272,DARLEY
13633278,DARLEY
13633280,DARLEY
13633281,DARLEY
13633568,GISBORNE
13633610,DARLEY
13633605,DARLEY
13633608,DARLEY
13633612,DARLEY
13633616,DARLEY
13633621,DARLEY
13634504,SUNBURY
13637160,GISBORNE
13637162,GISBORNE
13637163,GISBORNE
13637210,GISBORNE
13637212,GISBORNE
13637214,GISBORNE
13637216,GISBORNE
13637568,GISBORNE
13637466,GISBORNE
13637467,GISBORNE
13637469,GISBORNE
13637471,GISBORNE
13637473,GISBORNE
13637477,GISBORNE
13637483,GISBORNE
13637485,GISBORNE
13637487,GISBORNE
13637489,GISBORNE
13637491,GISBORNE
13637493,GISBORNE
13637495,GISBORNE
13637501,GISBORNE
13637504,GISBORNE
13637505,GISBORNE
13637507,GISBORNE
13637509,GISBORNE
13637005,TOOLERN VALE
13637006,TOOLERN VALE
13635774,WOODEND
13635783,TOOLERN VALE
13635787,TOOLERN VALE
13635788,TOOLERN VALE
13635795,TOOLERN VALE
13636211,MYRNIONG
13636212,MYRNIONG
13636214,MYRNIONG
13636216,MYRNIONG
13636218,MYRNIONG
13636220,MYRNIONG
13636222,MYRNIONG
13636224,MYRNIONG
13636226,MYRNIONG
13636230,MYRNIONG
13636233,MYRNIONG
13636235,MYRNIONG
13636862,SUNBURY
13636864,SUNBURY
13636870,SUNBURY
13636876,SUNBURY
13642830,WOODEND
13642831,WOODEND
13642408,WILDWOOD
13633622,DARLEY
13633757,GISBORNE
13633758,GISBORNE
13633745,MERRIMU
13633747,MERRIMU
13633750,MERRIMU
13637034,TOOLERN VALE
13637036,TOOLERN VALE
13637038,TOOLERN VALE
13637039,TOOLERN VALE
13637086,MADDINGLEY
13637125,MADDINGLEY
13637127,MADDINGLEY
13633196,SUNBURY
13633174,SUNBURY
13633176,SUNBURY
13633179,SUNBURY
13633181,SUNBURY
13633184,SUNBURY
13633188,SUNBURY
13527359,NEW GISBORNE
13527363,NEW GISBORNE
13527367,NEW GISBORNE
13527368,NEW GISBORNE
13527370,NEW GISBORNE
13538958,NEW GISBORNE
13538962,NEW GISBORNE
13538964,NEW GISBORNE
13538966,NEW GISBORNE
13538968,NEW GISBORNE
10134537,SUNBURY
13538970,NEW GISBORNE
13538972,NEW GISBORNE
13538974,NEW GISBORNE
13538976,NEW GISBORNE
13630413,MELTON WEST
13630414,MELTON WEST
13630417,MELTON WEST
13630421,MELTON WEST
13551092,MELTON WEST
13630424,MELTON WEST
13637228,MADDINGLEY
13637230,MADDINGLEY
13637232,MADDINGLEY
13637233,MADDINGLEY
13642409,WILDWOOD
13643251,GISBORNE
13642660,WOODEND
13643272,SUNBURY
13643298,SUNBURY
13643078,SUNBURY
13643080,SUNBURY
13643191,SUNBURY
13643193,SUNBURY
13643195,SUNBURY
13643198,SUNBURY
13643200,SUNBURY
13643202,SUNBURY
13643205,SUNBURY
13643208,SUNBURY
13643212,SUNBURY
13643214,SUNBURY
13643216,SUNBURY
13643220,SUNBURY
13643223,SUNBURY
13643227,SUNBURY
13643228,SUNBURY
13642646,BACCHUS MARSH
11562452,ROMSEY
11562454,ROMSEY
13633190,SUNBURY
13637555,GISBORNE
13637561,GISBORNE
13637563,GISBORNE
13637565,GISBORNE
13637567,GISBORNE
13637572,GISBORNE
13637574,GISBORNE
11576143,SUNBURY
11576144,SUNBURY
11576151,SUNBURY
11576154,SUNBURY
2778249,MACEDON
11004639,MELTON WEST
11004641,MELTON WEST
11054890,DIGGERS REST
11054937,DIGGERS REST
11054903,DIGGERS REST
11054906,DIGGERS REST
11054918,DIGGERS REST
11054925,DIGGERS REST
11054927,DIGGERS REST
11054933,DIGGERS REST
11055012,PLUMPTON
11055764,PLUMPTON
11055772,PLUMPTON
11055762,PLUMPTON
11055766,PLUMPTON
11055768,PLUMPTON
11055776,PLUMPTON
11055780,PLUMPTON
11055782,PLUMPTON
11055784,PLUMPTON
11055786,PLUMPTON
11055790,PLUMPTON
11055792,PLUMPTON
11055794,PLUMPTON
11055796,PLUMPTON
11055798,PLUMPTON
11562456,ROMSEY
11562458,ROMSEY
11562463,ROMSEY
11562467,ROMSEY
11562469,ROMSEY
11562471,ROMSEY
11562473,ROMSEY
11562476,ROMSEY
11562478,ROMSEY
11562480,ROMSEY
11562487,ROMSEY
11562491,ROMSEY
11562493,ROMSEY
11562495,ROMSEY
11562497,ROMSEY
11562499,ROMSEY
11562501,ROMSEY
11562503,ROMSEY
11562505,ROMSEY
11562507,ROMSEY
11569472,ROMSEY
11576106,SUNBURY
11576108,SUNBURY
11576109,SUNBURY
11520386,DIGGERS REST
11520388,DIGGERS REST
11004651,MELTON WEST
11004669,MELTON WEST
13633752,MERRIMU
13633760,MERRIMU
13633762,MERRIMU
13633789,DARLEY
13633791,MERRIMU
13633793,MERRIMU
13632776,MADDINGLEY
13632778,MADDINGLEY
13632782,MADDINGLEY
13632784,MADDINGLEY
13632786,MADDINGLEY
13632789,MADDINGLEY
13632791,MADDINGLEY
13632793,MADDINGLEY
13637236,BACCHUS MARSH
13637238,BACCHUS MARSH
13637240,BACCHUS MARSH
13637242,BACCHUS MARSH
13637244,BACCHUS MARSH
13637254,BACCHUS MARSH
13637257,BACCHUS MARSH
13637259,BACCHUS MARSH
13637260,BACCHUS MARSH
13637262,BACCHUS MARSH
13637264,BACCHUS MARSH
13637266,BACCHUS MARSH
13637299,TOOLERN VALE
13637452,MELTON SOUTH
13637133,GISBORNE
13637137,GISBORNE
13637139,GISBORNE
13637151,GISBORNE
13637153,GISBORNE
11520306,TOOLERN VALE
11520308,TOOLERN VALE
11520390,DIGGERS REST
13636878,SUNBURY
13636880,SUNBURY
13637044,MELTON SOUTH
13635255,TOOLERN VALE
13634511,TOOLERN VALE
13635224,TOOLERN VALE
13635226,TOOLERN VALE
13635230,TOOLERN VALE
13635232,TOOLERN VALE
13635235,TOOLERN VALE
13635237,TOOLERN VALE
13633795,MERRIMU
13633797,MERRIMU
13633799,MERRIMU
13633169,GISBORNE
13633805,MERRIMU
13633807,MERRIMU
13633809,MERRIMU
13633811,MERRIMU
13633815,MERRIMU
13633817,MERRIMU
13633819,MERRIMU
13633934,MERRIMU
13633936,MERRIMU
13632795,MADDINGLEY
13632797,MADDINGLEY
13632813,MADDINGLEY
13632815,MADDINGLEY
13632817,MADDINGLEY
13632825,MADDINGLEY
13632831,MADDINGLEY
13632843,MADDINGLEY
13632849,MADDINGLEY
13632851,MADDINGLEY
13632855,MADDINGLEY
13632857,MADDINGLEY
13632859,MADDINGLEY
13632861,MADDINGLEY
13637578,GISBORNE
13637585,GISBORNE
13637587,GISBORNE
13637588,GISBORNE
13637595,BULLA
13637632,MOUNT COTTRELL
13637633,MOUNT COTTRELL
13637635,MOUNT COTTRELL
13637627,MOUNT COTTRELL
13637629,MOUNT COTTRELL
13637637,MOUNT COTTRELL
13637731,SUNBURY
