GID,SYM_NAME,SYM_SCALE,SYM_ANGLE,COMMENTS,TAG_VALUE,INCIDENT,JOB_NO,EVENT_DATE,DURATION,ASSET_CODE,CATEGORY,EVENT_TYPE,WS_GID,WS_Tolerance,FailYear,FinancialFailYear
21662118, ,0,0, , ,3,30254,2013-08-09,, ,WATER,Unplanned,11532609,1m,2013,2013
21708138, ,0,0, , ,4,30344,2013-08-20,, ,WATER,Unplanned,20873251,1m,2013,2013
21967704, ,0,0, , ,4,30784,2013-10-24,, ,WATER,Unplanned,23481809,1m,2013,2013
21967705, ,0,0, , ,4,30785,2013-11-19,, ,WATER,Unplanned,11146845,1m,2013,2013
21967706, ,0,0, , ,4,30786,2013-11-18,25, ,WATER,Unplanned,378984,1m,2013,2013
21968025, ,0,0, , ,4,30807,2013-11-24,20, ,WATER,Unplanned,13630414,1m,2013,2013
22533128, ,0,0, , ,3,32241,2014-07-10,, ,WATER,Unplanned,10097867,1m,2014,2014
22581266, ,0,0, , ,4,32483,2014-08-14,91, ,WATER,Unplanned,13637236,1m,2014,2014
22582056, ,0,0, , ,4,32582,2014-09-01,, ,WATER,Unplanned,2819131,1m,2014,2014
22582406, ,0,0, , ,4,32624,2014-09-08,, ,WATER,Unplanned,2845547,1m,2014,2014
22676567, ,0,0, , ,4,32763,2014-09-30,40, ,WATER,Unplanned,382674,1m,2014,2014
22777022, ,0,0, , ,4,33182,2014-12-04,120, ,WATER,Unplanned,2770640,1m,2014,2014
23481672, ,0,0, , ,4,35082,2015-07-10,60, ,WATER,Unplanned,25121698,1m,2015,2015
23650524, ,0,0, , ,4,35823,2015-09-15,, ,WATER,Unplanned,2775885,1m,2015,2015
24100265, ,0,0, , ,4,36883,2015-12-11,57, ,WATER,Unplanned,334686,1m,2015,2015
24100321, ,0,0, , ,3,36921,2015-12-11,, ,WATER,Unplanned,11065657,1m,2015,2015
24100322, ,0,0, , ,3,36922,2015-12-11,, ,WATER,Unplanned,10084596,1m,2015,2015
24150076, ,0,0, , ,4,36968,2015-12-22,, ,WATER,Unplanned,20452647,1m,2015,2015
24150075, ,0,0, , ,3,36967,2015-12-21,, ,WATER,Unplanned,11029603,1m,2015,2015
24150260, ,0,0, , ,4,36981,2015-12-18,, ,WATER,Unplanned,2845989,1m,2015,2015
24150262, ,0,0, , ,3,36983,2015-12-29,50, ,WATER,Unplanned,11141185,1m,2015,2015
24199330, ,0,0, , ,3,37027,2015-12-18,400, ,WATER,Unplanned,10092704,1m,2015,2015
21662116, ,0,0, , ,3,30252,2013-08-06,, ,WATER,Unplanned,10100474,1m,2013,2013
21662117, ,0,0, , ,4,30253,2013-08-10,, ,WATER,Unplanned,11530342,1m,2013,2013
21966834, ,0,0, , ,3,30764,2013-11-04,160, ,WATER,Unplanned,350957,1m,2013,2013
22582260, ,0,0, , ,4,32541,2014-08-19,90, ,WATER,Unplanned,352804,1m,2014,2014
22676839, ,0,0, , ,4,32780,2014-10-02,27, ,WATER,Unplanned,21425670,1m,2014,2014
